id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1667883,Milo Gibson
1232548,Abigail Hawk
1107983,Martin Luther King
52057,Obba Babatundé
110380,Colin Powell
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
1776,Francis Ford Coppola
37872,Eleanor Coppola
8328,John Milius
5141,Heather Langenkamp
5139,Robert Englund
5140,Wes Craven
64,Gary Oldman
564,Richard Linklater
584,Philip K. Dick
529,Guy Pearce
532,Joe Pantoliano
1954,Billy Zane
20959,Louis Gossett Jr.
11521,Kristin Minter
37625,Andrew Garfield
65731,Sam Worthington
4937,Vince Vaughn
180659,Rosa Parks
1280183,Coretta Scott King
181934,Al Sharpton
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
2803017,Arthur John Birch
2954,Jeffrey Wright
33663,Donald Trump
937663,Neil Amdur
1931175,Bob Beamon
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates Jr.
1209864,Yoruba Richen
2685726,Delbert Hunt
2764421,Marquette Folley
8654,Matthew Modine
104053,Michele Greene
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
9857,Karl Malden
5248,Lee J. Cobb
1158,Al Pacino
1662371,Jay Sebring
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
14386,Beyoncé
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
380,Robert De Niro
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
12132,Michael Rooker
2130,Cary Elwes
3810,Javier Bardem
72305,Lesley Manville
44735,Jesse Eisenberg
3037,Richard Dreyfuss
4951,Robert Dalva
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
3203,Russell Means
7862,Floyd Red Crow Westerman
11367,Bradley Whitford
31028,Richard Schiff
3266,Joe Mantegna
36059,Joanna Pacula
5606,Sissy Spacek
1179102,Kathleen Kennedy
21010,Alexandra Hay
101032,Rod McCary
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
125025,Joey King
122889,Dane DeHaan
2641,Martin Landau
72028,Arye Gross
4724,Kevin Bacon
66743,Matt Bomer
1461,George Clooney
2098136,Brian Becker
2098137,Richard Becker
1,George Lucas
7879,John Lasseter
5064,Meryl Streep
488,Steven Spielberg
2559324,Beth Lane
27888,Raúl Juliá
2303,Wim Wenders
5293,Willem Dafoe
1032,Martin Scorsese
1150,Brian De Palma
1243,Woody Allen
510,Tim Burton
55983,Jim Henson
7908,Frank Oz
134,Jamie Foxx
1006721,Charles Scorsese
3083483,Nathalie Labarthe
3,Harrison Ford
14782,Andrew Robinson
190,Clint Eastwood
147,Michael Madsen
2378014,Scott Allie
2046262,Julie Belle
1381997,Kurt Busiek
11784,Tom Atkins
78021,Lloyd Kaufman
16847,Eli Roth
2714,Lance Henriksen
4955,Dario Argento
27995,Barbara Crampton
102429,Roger Corman
102334,Bruce D. Clark
44762,Forrest J. Ackerman
100360,John Zacherle
62596,Kane Hodder
64722,John Carl Buechler
11357,Bruce Campbell
16178,Rick Baker
20903,Josh Keaton
22082,Lacey Chabert
19506,James Arnold Taylor
11770,John Carpenter
515,Glenn Close
43774,Daniel Roebuck
99596,Bob Burns
61956,Chuck Williams
113,Christopher Lee
3027,Stephen King
131120,Henry Strozier
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
1146,Julie Delpy
1117999,Xenia Kalogeropoulou
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
116474,Kevin Alejandro
13920,Mimi Rogers
8659,John Terry
41381,Sadie Frost
21596,Shannon Elizabeth
8658,Ed O'Ross
56097,Alki David
2048,Gary Busey
7218,Kristanna Loken
25308,Vanessa Angel
20805,Louise Lombard
940,John Shrapnel
132206,Stephen Moore
29459,Patrick Bergin
198642,Griffith Brewer
521,Michael J. Fox
1062,Christopher Lloyd
1063,Lea Thompson
57829,Anthony LaPaglia
68750,Robert Townsend
6861,Andre Braugher
36811,Nick Cannon
2395,Whoopi Goldberg
44796,Franklyn Ajaye
77896,Bill Bellamy
9789,Robert Altman
6449,Warren Beatty
777,Judge Reinhold
2266,Stephi Lineburg
78729,Nathan Lane
438859,Susan Brown
120886,Donna Air
1112923,Ozwald Boateng
2710,James Cameron
8691,Zoe Saldana
40462,Kristen Bell
1532312,Kirby Howell-Baptiste
1294982,Paul Walter Hauser
1357,Christopher Doyle
531,Danny Elfman
4492,Philip Baker Hall
1408141,Fred Korematsu
54422,Tupac Shakur
2391,Michael Dorn
3635,Elizabeth Taylor
1386798,Joseph McCarthy
100709,Junior Wells
21111,John F. Kennedy
2802990,Jean Paul Getty
2803001,Haroldson Lafayette Hunt
13348,Howard Hughes
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
57738,Samuel Labarthe
1141815,Charles de Gaulle
1074129,Fred Rogers
2066306,François Scarborough Clemmons
173729,Yo-Yo Ma
1184462,Ben Maccabee
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
72129,Jennifer Lawrence
10943,Francis Lawrence
1145892,Ed Koch
227811,Herschel Walker
1222706,Skip Bayless
1167702,Bruno Sammartino
1167703,Bob Backlund
557911,Robert Kennedy Jr
1748,William Shatner
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
112219,Michael Hickenbottom
56446,John Cena
1200537,Edward Fatu
1816204,Frederick Oberlander
1816207,Tevfik Arif
151043,Randy Orton
77120,Steve Austin
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner jr.
21216,Kim Delaney
58792,Jack Scalia
16620,Hulk Hogan
2161106,Sebastian Gorka
2161107,Raheem Kassam
2161104,Corey Lewandowski
2255261,Michel Zlotowski
4960,Charles Bronson
15753,Jill Ireland
1103791,Joan Agajanian Quinn
95678,Jean-Michel Basquiat
5469,Ralph Fiennes
2398868,Taghi Amirani
3203938,Farhad Diba
567335,Chris Benoit
115788,Paul Michael Lévesque
937664,Abraham Beame
937665,Bob Bright
2791669,Erika Andiola
2791670,Bob Bland
1262488,Emicida
10055,Fernanda Montenegro
81724,Zeca Pagodinho
16431,Sam Elliott
2203,Neal McDonough
2059,Adam Baldwin
7132,Vincent D'Onofrio
1357571,Mike Chunn
1357572,Nick D'Angelo
21278,Alan Alda
13724,Jane Alexander
64825,Harry Hamlin
175981,Linda Doucett
21246,Corbin Bernsen
94814,Susan Dey
2654014,Mariah Robinson
2673964,Arie Thompson
21563,Corin Nemec
139,Uma Thurman
140,Lucy Liu
58924,Clifton Powell
21355,DMX
1922617,Joy Rovaris
587035,Nadji Jeter
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
2545,Lawrence Bender
138,Quentin Tarantino
1220781,Shelly Altman
115002,John Aniston
7447,Alec Baldwin
88620,Lauren Collins
19961,Nina Dobrev
180986,Cassie Steele
1142230,Jessica Geneus
105762,Jimmy Jean-Louis
1142232,Soledad Elizabeth Jean
13,Albert Brooks
2406,Mathieu Kassovitz
3116407,Clovis Goux
123337,B. Ruby Rich
5049,John Hurt
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
9560,Ellen Burstyn
12021,Mia Farrow
18248,Mary-Louise Parker
59219,Kyle Gallner
9825,Saffron Burrows
1137,Juliette Binoche
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
10696,Famke Janssen
1160,Michelle Pfeiffer
1813,Anne Hathaway
37153,Zoë Kravitz
70243,Eartha Kitt
15973,Julie Newmar
8891,John Travolta
44038,Nancy Allen
35705,Regina Hall
143242,Terrence Jenkins
56323,Tina Fey
78577,Graham Norton
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
1189929,Condoleezza Rice
7904,Billy Crystal
2801284,Anthony Amsterdam
1066763,Darrell Royal
8261,Willie Nelson
50707,Ed Marinaro
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
1322032,John Ashcroft
1322033,Bob Brenly
2203808,Sérgio Vieira de Mello
1220273,David Cameron
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana of Wales
174981,Prince Charles of Edinburgh
28626,Arielle Dombasle
3614,Michel Houellebecq
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
32377,Enrico Maria Salerno
9762,Jean Sorel
1936,Martin Balsam
5247,John Fiedler
30233,Rosalind Russell
19550,Melvyn Douglas
80237,Binnie Barnes
1159,Steven Bauer
39996,Sidney Lumet
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
10750,Sheryl Crow
1234966,Greg Phillinganes
2426206,Danny Wu
2284427,Charles Thomson
5657,Anjelica Huston
11510,Macaulay Culkin
18793,Kieran Culkin
110001,Phil Collins
122750,Leslie Uggams
109897,Ethel Merman
6352,Jane Fonda
13301,Quincy Jones
1201284,Jacques Peretti
140567,Donny Osmond
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
37934,André Benjamin
15310,Anthony Kiedis
45042,Adam Ant
553721,Nick Ashford
1789239,Renaldo Benson
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
990578,Rocky Marciano
1056814,Chris Dundee
107375,Joe Frazier
2712640,Mark Holden
65606,George Foreman
87919,Mark Calaway
87496,Daddy Yankee
2550161,Bad Bunny
5723,John Leguizamo
63522,Sofía Vergara
94759,Gloria Estefan
11695,Lucas Foster
893,Tony Scott
84932,Jay-Z
4720,Kanye West
1610514,Tina Knowles
1214573,Serena Williams
93527,Kelly Rowland
119589,Donald Glover
9030,Thandiwe Newton
2178,Forest Whitaker
104779,Nas
81130,Guy Berryman
81131,Jon Buckland
81132,Will Champion
102786,Barack Obama
964843,Michelle Obama
167662,Ryan Seacrest
1564846,Auli'i Cravalho
62644,50 Cent
32362,Jon Bon Jovi
73931,Bette Midler
142439,Emmett Kelly
109404,Vito Russo
863,Orson Bean
707,Dan Aykroyd
11850,Candice Bergen
9274,James Brolin
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
35,Sally Field
21399,Ron Silver
4512,James Woods
4513,Elizabeth McGovern
4430,Sharon Stone
4517,Joe Pesci
14702,Cathy Moriarty
4690,Christopher Walken
3096,John Cazale
11477,Ray Liotta
73421,Joaquin Phoenix
1545693,Zazie Beetz
819,Edward Norton
1259,Ennio Morricone
19665,John Boorman
11478,Lorraine Bracco
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
138986,Tony Bennett
53397,Christina Aguilera
85564,Andrea Bocelli
61110,Fred Armisen
4959,Claudia Cardinale
78934,Betsy Blair
33741,Rita Hayworth
70985,Gig Young
326,Kim Basinger
1747292,Robert Board
50967,Doug McClure
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
32749,Alex Diakun
6804,Graham Greene
69302,Litefoot
65529,Irene Bedard
113674,Victoria Alonso
1121,Benicio del Toro
543530,Dave Bautista
234352,Margot Robbie
17605,Idris Elba
4027,Frank Darabont
1223867,Robert Kirkman
46348,Denise M. Huth
15110,Brooke Shields
3026,Rob Reiner
2127,James Wan
2128,Leigh Whannell
29704,Geoffrey Moore
1913149,Ambra Moore
2744,Carmen Maura
3131,Antonio Banderas
98357,Pilar López de Ayala
34902,Jane Horrocks
880,Ben Affleck
73968,Henry Cavill
90633,Gal Gadot
2090,Kirk Douglas
18972,Danny Masterson
155890,Julie Garfield
2210813,Ellen Adler
2879828,Joseph Bernard
70899,Amara Zaragoza
42626,Trent Ford
192,Morgan Freeman
287,Brad Pitt
12052,Gwyneth Paltrow
26009,Gail O'Grady
1067583,Suzanne Happ
33,Gary Sinise
5149,Bonnie Hunt
10427,Anne Archer
2144,Tobin Bell
141,David Carradine
2505,James Cromwell
8213,Sam Robards
54693,Emma Stone
19492,Viola Davis
6944,Octavia Spencer
76184,Bryan Marshall
30672,Sandor Elès
1183966,Angus Duncan
45002,Angel Tompkins
20861,Heidi Brühl
39770,Adam Roarke
34721,Larry Bishop
83908,Daniel Massey
8499,William Windom
16896,James Garner
8857,Debbie Reynolds
15395,Maurice Ronet
56890,Malcolm McDowell
46393,Roseanne Barr
82128,Wesley Clark
1353815,Dr. Diane Ravitch
20212,Dermot Mulroney
21818,Lesley Ann Warren
12967,Swoosie Kurtz
13567,Ann-Margret
25834,Leslie Hope
118764,Paulo Pires
1189209,Woody Guthrie
2993220,Rick Sharp
3199207,Jerry Dealey
1204293,J. Allen Hynek
27116,Kevin Conway
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2045089,Jeanmarie Simpson
4687,Patricia Arquette
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
7077,Scatman Crothers
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
2282,Ben Kingsley
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
21007,Jonah Hill
15831,Frank Welker
27319,Christoph Waltz
9261,Frank Abagnale Jr.
2157,Robin Williams
19498,Jon Bernthal
31,Tom Hanks
3197,Tom Sizemore
12833,Edward Burns
53,Peter Stormare
28782,Monica Bellucci
10297,Matthew McConaughey
83002,Jessica Chastain
11665,Michael Angarano
2171,Griffin Dunne
15864,Clarence Williams III
176557,Mark Kassen
19453,Tom Bower
4600,Joe Dante
7166,Kevin Pollak
1141310,Joe Dietl
1229,Jeff Bridges
81316,Reid Scott
10767,Barbara Hershey
1366083,Grace Kaufman
204,Kate Winslet
20508,Iain Glen
1535219,McCaul Lombardi
21029,Billy Burke
123725,Abigail Spencer
76512,Jason Clarke
6046,Roland Emmerich
57637,James Hetfield
69230,Lars Ulrich
1205143,John Gazarian
1205144,Darlene Landau
2222,Beau Bridges
160663,Ted Shackelford
9805,Sally Kellerman
24589,Paul Mercurio
24590,Dominique Sanda
57905,Lindsay Wagner
18589,Lee Majors
105270,Tom Schanley
2638,Cary Grant
2639,Eva Marie Saint
2091,James Mason
47879,John Savage
104895,James Wilder
59846,Joanne Baron
1339982,Robert Lee
69342,Matty Simmons
1524,Harold Ramis
163630,Mart Crowley
5374,Jim Parsons
1223,Joel Coen
1224,Ethan Coen
2676541,Maria Ressa
2698947,Pia Ranada
14701,Carroll Baker
71538,Dave Filoni
1021364,Joseph Campbell
2231,Samuel L. Jackson
12898,Tim Allen
2297235,Antony Horder
491,John Williams
738,Sean Connery
132305,Nobuhiko Ōbayashi
5026,Akira Kurosawa
4,Carrie Fisher
3799,Billy Dee Williams
130,Kenny Baker
10930,Irvin Kershner
2140901,Gary Kurtz
33185,Jeremy Bulloch
7090,Kelsey Grammer
94037,Bruno Bozzetto
35219,Corey Burton
2106,Walt Disney
146136,Bernice Hansen
628,Isao Takahata
608,Hayao Miyazaki
1186197,Steve Alpert
110675,Jerry Beck
7167,Don Rickles
11701,Angelina Jolie
1658802,Andra Day
10215,Paul McCartney
230194,Abraham Laboriel Jr.
325,Eminem
13848,Charlie Chaplin
1828524,Katy Emde
24,Robert Zemeckis
1058,Bob Gale
2227,Nicole Kidman
500,Tom Cruise
30807,Rudy Behlmer
670,Ben Burtt
2154,Scott Bakula
2152,Alan Ball
227,William Hurt
1296936,Sebastião Salgado
1310844,Juliano Ribeiro Salgado
1414419,Lotte Eisner
6818,Werner Herzog
10249,Volker Schlöndorff
2778,Dennis Hopper
5602,David Lynch
1499594,Satya De La Manitou
1061561,Mark Cousins
1018937,Jean-Michel Frodon
86034,Julianne Nicholson
32887,Christopher Heyerdahl
1152,Oliver Stone
1291350,Tony Revolori
3490,Adrien Brody
39104,Abel Ferrara
1480608,Stuart Alson
18514,Asia Argento
32592,Ron Vawter
1434355,Kate Valk
189747,Anna Köhler
285917,Ari Fliakos
1731598,Beatrice Roth
118415,Sean Baker
20715,Alexis Zabe
6586,Barry Gifford
1130441,Robert Sklar
108650,Alain Silver
1130439,Drew Casper
1665042,Thierry Frémaux
1867,Auguste Lumière
224,David Cronenberg
6159,Ron Howard
5168,Gabriel Byrne
70035,Maureen O'Hara
39012,Peter Bogdanovich
2636,Alfred Hitchcock
1077703,Donald Spoto
72861,Robbie Robertson
941022,Buffy Sainte-Marie
237532,John Trudell
40223,Joe Carnahan
1052109,Harry Styles
1052107,Niall Horan
1146050,Zayn Malik
2302849,Amalia Ulman
118303,Nacho Vigalondo
11008,Rebecca Romijn
67877,George Litto
1979,Kevin Spacey
16294,Jonathan Demme
82388,Bob Hope
1242827,Erroll Garner
586186,George Avakian
11905,Sven Nykvist
38127,Erland Josephson
6648,Ingmar Bergman
2240369,Bert Stern
82280,Louis Armstrong
10468,Marvin Hamlisch
10400,Barbra Streisand
1884,Steven Soderbergh
85,Johnny Depp
256928,Nick Davis
213896,Camille Bonora
1353222,Rickey Boyd
1103687,Joan Ganz Cooney
141888,Jon Stone
64180,Steve Whitmire
97185,Eric Jacobson
164131,Fran Brill
17483,Michael Maloney
6238,Juliet Stevenson
68455,Jerry Nelson
360193,Peter Linz
2,Mark Hamill
6,Anthony Daniels
67367,Rian Johnson
224513,Ana de Armas
135651,Michael B. Jordan
60073,Brie Larson
979952,Clive Davis
120724,Jaden Smith
4038,Susan Sarandon
9309,Richard Pryor
57551,Mario Cantone
5726,Cedric the Entertainer
10814,Wesley Snipes
18897,Jackie Chan
19429,Bruce Lee
448,Hilary Swank
3265,Eli Wallach
4078,Lee Van Cleef
14276,Gian Maria Volontè
74308,Christopher Carley
74309,Bee Vang
3892,Johnny Mercer
3095559,Bill Charlap
4385,Sergio Leone
34259,Jean-Yves Berteloot
11066,Hal Holbrook
15111,Jean-Claude Van Damme
1932312,Maureen McCarthy
2254973,Carlie Guevara
68812,Ed Asner
1037,Harvey Keitel
3129,Tim Roth
23920,Chad McQueen
6844,Dom DeLuise
68559,Gary Daniels
188707,Christopher Stapleton
59554,Jesse Bernstein
1591097,Bryan Clark
17397,Callie Khouri
17398,Mimi Polk Gitlin
1572034,Robert Scott Wilson
2555,David Proval
2047,Danny Glover
73040,Doug Bradley
27993,Jeffrey Combs
252527,Rusty Goffe
565671,Sophia Disgrace
1198123,Rachel Grubb
106207,Ari Lehman
52860,Judah Friedlander
1515269,John P. Brennan
2029964,Paymon Seyedi
42545,Ron Jeremy
15832,Gilbert Gottfried
1404664,Cody Baggenstos
1404667,Justin Shand
70602,Jörg Buttgereit
1036843,James Balsamo
1288492,Glenn Berggoetz
93190,Zack Beseda
106166,Count Smokula
1229317,Bruno Tonioli
1133295,Jeremy Ambler
1536126,Teresa Ambler
1536127,Katt Balsan
1376433,Susie Duecker
1376434,Patricia Quinn
1102159,Shawn C. Phillips
19487,Jay Hernandez
19119,Mélanie Laurent
52365,Cerina Vincent
21429,Sam Page
20493,Sydney Tamiia Poitier
33656,Heather Matarazzo
39520,Garret Dillahunt
11462,Ellen Sandweiss
11465,Theresa Tilly
52602,Rob Morrow
2517,Donna Murphy
59183,Sarah-Jane Redmond
111207,Barra Grant
21625,Molly Ringwald
14392,Kathryn Bigelow
2053,Bill Paxton
3085,James Caan
60848,James Aaron Oliver
1229762,Jonathan Mangum
31365,John Kassir
23967,Mary Ellen Trainor
78494,Beau Billingslea
571562,Steve Blum
75039,Crispin Freeman
88164,Luigi Cozzi
2183911,Annette Chaton
1518723,Marcus Hearn
61824,Mick Garris
105685,Giovanna Mezzogiorno
32055,Piero Tosi
19707,Charles Band
31302,Ted Newsom
100659,Ivan Cardoso
31211,Clive Barker
12515,José Ferrer
13578,Dana Andrews
9925,Martine Beswick
650,Karen Allen
104021,Ricou Browning
109255,Leonard Maltin
7505,Roddy McDowall
26660,Richard Kiley
3035391,Bob Kokai
3035392,Ronald V. Borst
79084,Jeff Rector
16028,William Marshall
41955,Griffin Drew
98226,Rodney Gray
35579,Debbie Rochon
100359,Nathan Sears
16938,Renny Harlin
97915,Marilyn Eastman
27804,Gunnar Hansen
97914,Karl Hardman
27747,Chuck Connors
80579,Robert Z'Dar
55841,Ron O'Neal
35475,Sean S. Cunningham
37470,Adrienne King
37469,Betsy Palmer
7073,Michael Berryman
99906,John Bloom
1351030,Jeff Kim
1924482,Nick Wolfhard
1658964,Charles Demers
16855,Mandy Moore
69899,Zachary Levi
164807,Paul Davis
14464,Jenny Agutter
11173,Nick Dudman
1319490,Kevin Haney
5174,Barry Sonnenfeld
34982,Jeff Bennett
963818,Troy Baker
86314,Mindy Cohn
43458,Brennan Elliott
104646,Barbara Niven
63681,Julie Warner
54500,Will Kemp
134610,Marco Soriano
1547914,Elan Garfias
1571231,Mat Lucas
60279,Fred Tatasciore
1082094,Dave B. Mitchell
12077,Jim Cummings
12900,Wallace Shawn
19507,Mikey Kelley
16418,Casey Kasem
1178795,Ben Diskin
27811,Peter Weller
42160,Ariel Winter
56930,David Selby
11813,David Foster
15406,Bill Lancaster
14999,George A. Romero
2932562,Tyler Lyle
2838131,Tim McEwan
511,Larry J. Franco
1432094,Cody Carpenter
44810,Cassandra Peterson
4785,Jeff Goldblum
6929,Tippi Hedren
229715,Jean-Michel Jarre
1250815,Little Boots
6856,Kurt Russell
65827,Keith David
11065,Wilford Brimley
32396,Richard Belzer
36190,Edie Falco
44712,Jill Eikenberry
2056726,Kevin Dobson
66776,Liza Minnelli
40389,Bernadette Peters
5699,Patti LuPone
2628845,James Black
51965,Kevin Sorbo
259016,Sam Sorbo
20767,Samantha Mathis
4971,Bud Cort
17005,Doug Jones
109870,Tom Woodruff Jr.
235722,Haruo Nakajima
8223,Jon Finch
41234,Judy Geeson
1116483,Deirdre Flynn
12688,Peter MacNicol
69344,Dana Hill
6952,Charlie Sheen
131814,Michael Brandon
19794,Eddie Constantine
72717,Dawn Addams
38037,Marius Goring
222054,Selma Brook
1483204,Ryan Mercier
1483206,Tina Gray
936,Oliver Reed
5,Peter Cushing
1241229,Bob Wilkins
2922,Boris Karloff
3061,Ewan McGregor
8724,Errol Flynn
30296,Joanne Dru
29903,Peter Finch
2532964,Morris Bright
2532965,Philip Campbell
109,Elijah Wood
1327,Ian McKellen
882,Liv Tyler
3070363,Christina Hazard
3070364,Karl Kite-Rangi
1313,Andrew Lesnie
107094,Dave Barry
38832,Thomas Gottschalk
12074,John Lithgow
1330888,Andy Bean
2501669,Marsha DeFilippo
11998,Eddie Albert
9626,Rip Torn
